@@,itemlabel,item,startdate,enddate
+++,A.J. Braga,,1955,1959
+++,Ahmad Ibrahim,Q4695349,1959-06-05,1961
+++,Kenneth Michael Byrne,Q85279327,1961,1963
+++,Yong Nyuk Lin,Q8054968,1963,1968
+++,Chua Sian Chin,Q16019663,1968,1974
+++,Toh Chin Chye,Q703209,1975,1981
->,Goh Chok Tong,Q313300,1981-01-06->1981,1982-05-31->1982
+++,Howe Yoon Chong,Q5921606,1982,1984
+++,Tony Tan Keng Yam,Q38987,1985,1986
->,Richard Hu,Q7326576,1985->1986,1987->1988
+++,Yeo Cheow Tong,Q8052396,1988,1994
+++,Yeo Cheow Tong,Q8052396,1997,1999
->,Lim Hng Kiang,Q6548691,1999-06-03->1999,2003-07-31->2003
+++,Khaw Boon Wan,Q4354964,2003,2004
+++,Khaw Boon Wan,Q4354964,2004,2011
---,Khaw Boon Wan,Q4354964,2004-08-12,2011-05-20
