@@,item,itemlabel,startdate,enddate
->,Q7682122,Tan Soo Khoon,1989-01-09->1997-05-26,2001-10-18->2001-10-17
+++,Q4666073,Abdullah Tarmugi,2002-03-22,2006-04-19
---,Q4666073,Abdullah Tarmugi,2002-03-25,2011-04-19
+++,Q4666073,Abdullah Tarmugi,2006-11-02,2011-04-18
->,Q6833355,Michael Palmer,2011-10-12->2011-10-10,2012-12-12
->,Q5642345,Halimah Yacob,2013-01-14,2017-08-07->2015-08-24
+++,Q5642345,Halimah Yacob,2016-01-15,2017-08-07
->,Q7682037,Tan Chuan-Jin,2017-09-11,NULL->2020-06-22
+++,Q7682037,Tan Chuan-Jin,2020-08-24,
