item,itemLabel,position,positionLabel,start,psid
Q16204683,Josephine Teo,Q109121763,Minister for Communications and Information,2021-05-15,Q16204683-A89905AA-A95A-4928-A0DE-3B834AC0D639
Q16215886,Desmond Lee,Q109121768,Minister for National Development,2020-07-27,Q16215886-5F25BC41-DFD4-4154-BF7D-E04C1A63B5F9
Q17722375,Masagos Zulkifli,Q109192615,Minister for Social and Family Development,2020-07-27,Q17722375-3B47FE9A-C9EA-44F2-90FB-82B556F3D3B7
Q1984113,Ng Eng Hen,Q19840113,Minister for Defence,2011-05-21,Q1984113-a4a1b7ba-45a4-d2b0-247e-9d3b910d9556
Q3518218,Teo Chee Hean,Q20983917,Senior Minister,2019-05-01,Q3518218-CA40E423-BD21-4025-B333-F4B4C3A41C18
Q3518218,Teo Chee Hean,Q5137493,Co-ordinating Minister for National Security,2011-05-21,Q3518218-B3C5F7F8-A154-4887-8F2D-0F895C6C321E
Q5070296,Chan Chun Sing,Q61961268,Minister for Education,2021-05-15,Q5070296-64f75493-4b66-e63a-573d-e4211553ee8f
Q5346875,Edwin Tong,Q109121114,"Minister for Culture, Community and Youth",2020-07-27,Q5346875-DF711574-8967-4DF5-9819-55CC7EF3DBB3
Q5520446,Gan Kim Yong,Q20983892,Minister for Trade and Industry,2021-05-15,Q5520446-723F3E3D-29E8-40DE-B871-EEE843085B39
Q5591179,Grace Fu,Q109121637,Minister for Sustainability and the Environment,2020-07-27,Q5591179-B6B0328C-BCF6-4863-A22B-863870960883
Q5714209,Heng Swee Keat,Q5261072,Deputy Prime Minister of Singapore,2019-05-01,Q5714209-D62D5E44-3B71-441C-BDED-D922925EBC43
Q5714209,Heng Swee Keat,Q97704065,Coordinating Minister for Economic Policies,2020-07-27,Q5714209-4B187568-0E57-435F-89CA-B5362CFAE2EC
Q6026908,Indranee Rajah,Q109122093,Minister in the Prime Minister's Office,2018-05-01,Q6026908-E5167B31-8B78-40B0-B7EF-5517495B96EE
Q6324008,K. Shanmugam,Q11393870,Minister for Home Affairs,2015-10-01,Q6324008-D399B6BA-8A7D-4112-8358-7DC47B68F760
Q6324008,K. Shanmugam,Q6865909,Minister for Law,2008-05-01,Q6324008-694E487C-7656-46C3-A29A-810E559781AB
Q6504758,Lawrence Wong,Q5261072,Deputy Prime Minister of Singapore,2022-06-13,Q6504758-012DBB0E-4E23-42A1-B019-ED04055D7B7E
Q6504758,Lawrence Wong,Q6118636,Minister for Finance,2021-05-15,Q6504758-C833C3A5-8E68-4389-88E3-ED5B7F164ACB
Q6743667,Maliki Osman,Q109122093,Minister in the Prime Minister's Office,2020-07-27,Q6743667-F55B569B-BE85-45FC-8B7D-37A6E4378C61
Q7093820,Ong Ye Kung,Q20983896,Minister for Health,2021-05-15,Q7093820-c7c56d2b-4e69-01da-faab-cf7374aa3412
Q72409737,Tan See Leng,Q6865922,Minister for Manpower,2021-05-15,Q72409737-7C524534-0A71-46BF-ACDC-A993C6F47905
Q7387540,S. Iswaran,Q109191061,Minister for Transport,2021-05-15,Q7387540-AD880592-09FC-44CD-BF11-E332348C408B
Q7937671,Vivian Balakrishnan,Q256213,Minister for Foreign Affairs,2015-10-01,Q7937671-3447513E-6FE6-410F-8080-65D1925217C2
Q983752,Tharman Shanmugaratnam,Q20983917,Senior Minister,2019-05-01,Q983752-AA77353D-F750-41B7-A426-8DF0CEF6396A
Q983752,Tharman Shanmugaratnam,Q24932297,Co-ordinating Minister for Economic and Social Policies,2015-10-01,Q983752-DF8A13D7-75A3-42C4-950A-008FF1931C7D
Q57643,Lee Hsien Loong,Q866756,Prime Minister of Singapore,2004-08-12,q57643-146b9691-43ae-517d-61f5-7c7c11149888
